question_text,option_a,option_b,option_c,correct_answer,difficulty
"Which club won the first UEFA Cup/Europa League?","Liverpool","Tottenham","Juventus","B","hard"
"How many goals did Thierry Henry score for Arsenal in total?","175","228","189","B","hard"
"Who holds the record for fastest hat-trick in Premier League history?","Robbie Fowler","Sadio Mane","Kun Aguero","B","medium"
"Which goalkeeper scored a goal in the Premier League?","Alisson","Ederson","Tim Howard","A","medium"
"How many seasons has the Premier League been running?","Over 25","Over 30","Over 20","B","medium"
"Which team has the longest unbeaten Premier League run?","Chelsea","Arsenal","Manchester City","B","easy"
"Who scored the first ever Premier League goal?","Alan Shearer","Brian Deane","Teddy Sheringham","B","hard"
"Which club has been relegated from the Premier League the most times?","Sunderland","Norwich City","West Brom","B","hard"
"Who was the first African to score a Premier League hat-trick?","Didier Drogba","Tony Yeboah","Yakubu","B","hard"
"Which club has won the most FA Cups?","Manchester United","Arsenal","Chelsea","B","medium"
"How many FA Cups has Arsenal won?","12","14","10","B","hard"
"Who scored the winning goal in the 2017 FA Cup final?","Alexis Sanchez","Aaron Ramsey","Olivier Giroud","B","hard"
"Which team has the most League Cup wins?","Liverpool","Manchester City","Aston Villa","A","medium"
"How many League Cups has Liverpool won?","7","9","8","B","hard"
"Who is the top scorer in World Cup qualifying history?","Cristiano Ronaldo","Ali Daei","Lionel Messi","A","hard"
"Which country has won the Copa America the most times?","Brazil","Argentina","Uruguay","B","medium"
"How many Copa Americas has Argentina won?","13","15","16","C","hard"
"Who won the Copa America 2021?","Brazil","Argentina","Colombia","B","easy"
"Which player has won the most Copa America titles?","Lionel Messi","Pele","Diego Maradona","A","hard"
"Who won the first ever Copa America?","Brazil","Uruguay","Argentina","B","hard"
"Which European player has scored the most international goals?","Miroslav Klose","Cristiano Ronaldo","Robert Lewandowski","B","easy"
"How many international goals does Cristiano Ronaldo have?","Over 100","Over 120","Over 130","C","medium"
"Who is Portugal's most capped player?","Luis Figo","Cristiano Ronaldo","Pepe","B","easy"
"Which player has played in the most World Cups?","Lionel Messi","Lothar Matthaus","Cristiano Ronaldo","A","hard"
"How many World Cups has Messi played in?","4","5","3","B","medium"
"Which World Cup had the fewest goals scored?","Italy 1990","USA 1994","Germany 2006","A","hard"
"What was the average goals per game in the 1990 World Cup?","2.21","2.52","2.00","A","hard"
"Which stadium has the largest capacity in England?","Old Trafford","Wembley","Tottenham Stadium","B","easy"
"What is the capacity of Wembley Stadium?","80,000","90,000","100,000","B","medium"
"Which club plays at the Allianz Arena?","Borussia Dortmund","Bayern Munich","Schalke","B","easy"
"What is the capacity of the Allianz Arena?","70,000","75,000","65,000","B","hard"
"Which country hosted the 2020 European Championship?","England","Multiple countries","Germany","B","easy"
"Who won Euro 2020?","England","Italy","Spain","B","easy"
"Who scored the winning penalty in the Euro 2020 final?","Jorginho","Leonardo Bonucci","It was a shootout","C","hard"
"Which player missed the decisive penalty in Euro 2020 final?","Marcus Rashford","Bukayo Saka","Jadon Sancho","B","medium"
"Who won Euro 2016?","France","Portugal","Germany","B","easy"
"Who scored the winning goal in the Euro 2016 final?","Cristiano Ronaldo","Nani","Eder","C","medium"
"Which country has won the most European Championships?","Germany","Spain","Germany and Spain tied","C","medium"
"How many European Championships have Spain won?","2","3","4","B","medium"
"Who is Spain's all-time top scorer?","Raul","David Villa","Fernando Torres","B","medium"
"Which club did David Villa never play for?","Barcelona","Valencia","Real Madrid","C","medium"
"Who is France's all-time top scorer?","Thierry Henry","Michel Platini","Olivier Giroud","C","medium"
"How many goals has Olivier Giroud scored for France?","Over 50","Over 40","Over 60","A","hard"
"Which club did Zinedine Zidane manage first?","Real Madrid B","Real Madrid","Marseille","A","medium"
"How many Champions League titles did Zidane win as manager?","2","3","4","B","easy"
"Who replaced Zinedine Zidane at Real Madrid in 2021?","Carlo Ancelotti","Julen Lopetegui","Santiago Solari","A","medium"
"Which player has won the most Champions League titles?","Cristiano Ronaldo","Paco Gento","Paolo Maldini","B","hard"
"How many Champions League titles did Paco Gento win?","5","6","7","B","hard"
"Which club did Gento play for his entire career?","Barcelona","Real Madrid","Atletico Madrid","B","medium"
"Who is the youngest player to score in the Champions League?","Kylian Mbappe","Ansu Fati","Celestine Babayaro","B","hard"
"Who is the oldest player to score in the Champions League?","Francesco Totti","Ryan Giggs","Zlatan Ibrahimovic","A","hard"
"Which team has played in the most Champions League finals?","Bayern Munich","Real Madrid","AC Milan","B","medium"
"How many Champions League finals has Real Madrid played?","15","17","19","B","hard"
"Which English team has played in the most Champions League finals?","Manchester United","Liverpool","Chelsea","B","medium"
"How many Champions League finals has Liverpool played?","7","9","6","B","hard"
"Who scored Liverpool's goals in the 2019 Champions League final?","Mohamed Salah","Salah and Origi","Sadio Mane","B","medium"
"Which manager has managed in the most Champions League finals?","Jose Mourinho","Carlo Ancelotti","Alex Ferguson","B","hard"
"How many Champions League finals has Carlo Ancelotti managed?","5","6","4","A","hard"
"Which stadium hosted the 2023 Champions League final?","Ataturk Olympic Stadium","Wembley","Parc des Princes","A","medium"
"Who scored in the 2023 Champions League final?","Erling Haaland","Rodri","Kevin De Bruyne","B","medium"
"What was the score in the 2023 Champions League final?","1-0","2-0","2-1","A","easy"
"Which team lost the 2023 Champions League final?","AC Milan","Inter Milan","Napoli","B","easy"
"Who was the Man of the Match in the 2023 Champions League final?","Erling Haaland","Rodri","Ederson","B","medium"
"Which manager won the 2023 Champions League?","Simone Inzaghi","Pep Guardiola","Jurgen Klopp","B","easy"
"How many Champions League titles has Pep Guardiola won?","2","3","4","B","medium"
"Which clubs has Pep Guardiola won the Champions League with?","Barcelona only","Barcelona and Man City","Barcelona, Bayern and Man City","B","medium"
"Who is the top scorer in Serie A history?","Francesco Totti","Silvio Piola","Giuseppe Meazza","B","hard"
"How many goals did Silvio Piola score in Serie A?","274","290","310","A","hard"
"Which team has won the most Serie A titles?","AC Milan","Inter Milan","Juventus","C","easy"
"How many Serie A titles has Juventus won?","34","36","38","B","hard"
"Which club won Serie A in 2022-23?","Inter Milan","Napoli","AC Milan","B","easy"
"How many points did Napoli finish with in 2022-23 Serie A?","86","90","95","B","hard"
"Who was Napoli's top scorer in 2022-23?","Khvicha Kvaratskhelia","Victor Osimhen","Giacomo Raspadori","B","easy"
"How many goals did Victor Osimhen score in 2022-23 Serie A?","21","26","31","B","medium"
"Which Nigerian has scored the most Serie A goals?","Victor Osimhen","Obafemi Martins","Taribo West","A","medium"
"Which club did Obafemi Martins play for in Italy?","AC Milan","Inter Milan","Juventus","B","hard"
"Who is the top scorer in Ligue 1 history?","Zlatan Ibrahimovic","Delio Onnis","Jean-Pierre Papin","B","hard"
"Which club has won the most Ligue 1 titles?","Marseille","PSG","Saint-Etienne","C","hard"
"How many Ligue 1 titles has Saint-Etienne won?","8","10","12","B","hard"
"How many consecutive Ligue 1 titles has PSG won?","8","10","6","A","hard"
"Who is PSG's all-time top scorer?","Zlatan Ibrahimovic","Edinson Cavani","Kylian Mbappe","B","medium"
"How many goals did Cavani score for PSG?","180","200","220","B","hard"
"Which African player has scored the most goals for PSG?","Moussa Dembele","Achraf Hakimi","None over 50","C","hard"
"Who won the Bundesliga Golden Boot in 2022-23?","Erling Haaland","Christopher Nkunku","Serge Gnabry","B","medium"
"How many goals did Lewandowski score in his final Bundesliga season?","30","35","40","B","hard"
"Which team won the DFB-Pokal in 2022-23?","Bayern Munich","RB Leipzig","Freiburg","B","medium"
"Who is Borussia Dortmund's all-time top scorer?","Robert Lewandowski","Michael Zorc","Marco Reus","B","hard"
"Which English player has played for Borussia Dortmund?","Phil Foden","Jude Bellingham","Bukayo Saka","B","easy"
"How many goals did Jude Bellingham score for Dortmund?","14","22","18","B","hard"
"Which club did Jude Bellingham join in 2023?","Manchester City","Real Madrid","Liverpool","B","easy"
"What was Bellingham's transfer fee to Real Madrid?","88 million euros","103 million euros","120 million euros","B","hard"
"Who is the most expensive English player in history?","Jack Grealish","Jude Bellingham","Harry Maguire","B","medium"
"Which African country hosted the 2019 AFCON?","Cameroon","Egypt","Morocco","B","medium"
"Who won the 2019 AFCON?","Senegal","Algeria","Nigeria","B","easy"
"Who scored the only goal in the 2019 AFCON final?","Riyad Mahrez","Baghdad Bounedjah","Islam Slimani","B","hard"
"Which Nigeria player was top scorer at 2019 AFCON?","Victor Osimhen","Odion Ighalo","Ahmed Musa","B","medium"
"How many goals did Odion Ighalo score at 2019 AFCON?","3","5","7","B","hard"
"Which tournament did Nigeria finish third at in 2019?","World Cup","AFCON","WAFU Cup","B","easy"
"Who is Nigeria's current highest paid player?","Victor Osimhen","Samuel Chukwueze","Wilfred Ndidi","A","easy"
"Which club does Samuel Chukwueze play for?","Napoli","AC Milan","Villarreal","B","medium"
"Which Nigerian played for AC Milan, Inter and Juventus?","Taribo West","Obafemi Martins","None","C","hard"
"Who holds the record for most consecutive wins in top 5 leagues?","Real Madrid","Bayern Munich","Manchester City","B","hard"
"How many consecutive wins did Bayern Munich achieve?","19","23","21","B","hard"
"Which team has the most consecutive home wins in Premier League?","Chelsea","Manchester City","Liverpool","C","hard"
"What is the record for most goals in a single Premier League game?","9","11","10","B","hard"
"Which match holds the Premier League goal record?","Portsmouth vs Reading","Man Utd vs Southampton","Tottenham vs Wigan","A","hard"
"What was the score in the record-breaking Premier League match?","7-4","9-3","8-3","A","hard"
"Who scored the fastest Premier League goal from kick-off?","Ledley King","Shane Long","Christian Eriksen","B","hard"
"How fast was the fastest Premier League goal?","7.69 seconds","9.9 seconds","12 seconds","A","hard"
"Which player holds the record for most yellow cards in Premier League?","Lee Bowyer","Gareth Barry","Kevin Davies","B","hard"
"How many yellow cards does Gareth Barry have in the Premier League?","110","123","135","B","hard"
"Who holds the record for most red cards in Premier League?","Patrick Vieira","Roy Keane","Duncan Ferguson","B","hard"
"How many red cards did Roy Keane receive in the Premier League?","6","8","10","B","hard"
"Which team has received the most red cards in Premier League history?","Arsenal","Everton","Newcastle","B","hard"
"What is the record for most penalties scored in a Premier League season?","10","12","14","B","hard"
"Who scored the most penalties in a single Premier League season?","Frank Lampard","Steven Gerrard","Mo Salah","A","hard"
"Which goalkeeper has saved the most penalties in Premier League history?","David Seaman","David James","Petr Cech","A","hard"
"How many penalties has David Seaman saved in the Premier League?","11","13","15","B","hard"
"Who is the Premier League's most expensive goalkeeper ever?","Alisson","Kepa","Ederson","B","medium"
"How much did Chelsea pay for Kepa?","65 million","72 million","80 million","B","hard"
"Which Nigerian goalkeeper has made the most Premier League appearances?","Vincent Enyeama","Carl Ikeme","Neither played in EPL","C","hard"
"Which sport uses a puck?","Field Hockey","Ice Hockey","Lacrosse","B","easy"
